order_id,customer_id,order_date,status,shipping_method,total_amount
232,111,2025-02-28,pending,Scheduled Delivery,3578.8
233,2,2025-08-21,delivered,Curbside Pickup,9537.03
234,156,2025-07-22,delivered,In-Store Pickup,8170.45
235,7,2025-01-07,delivered,Locker Pickup,6040.99
236,121,2025-07-24,pending,Partner Pickup,5125.17
237,141,2026-05-04,shipped,White Glove Delivery,7186.77
238,129,2025-03-24,processing,Freight Shipping,5847.54
239,113,2026-03-10,shipped,LTL Shipping,9265.48
240,114,2025-04-25,delivered,Full Truckload,2199.71
241,94,2025-04-30,cancelled,Signature Required,1951.51
242,72,2025-02-20,delivered,Insured Shipping,2978.55
243,163,2025-06-11,shipped,Tracked Delivery,1114.86
244,79,2025-07-21,processing,Standard International,3912.44
245,156,2024-10-07,processing,Economy International,8476.02
246,121,2025-11-15,cancelled,Premium International,1649.17
247,180,2024-08-10,delivered,Island Delivery,6455.67
248,120,2024-10-28,cancelled,Rural Delivery,2502.49
249,196,2025-07-02,delivered,Weekend Delivery,1020.16
250,141,2024-07-04,processing,Holiday Express,3041.5
251,20,2024-08-21,shipped,Standard Ground,3240.82
252,135,2024-10-07,cancelled,Express Overnight,9017.72
253,107,2026-03-11,cancelled,2-Day Shipping,8752.53
254,179,2025-03-13,shipped,Standard Ground,1413.42
255,98,2024-06-07,delivered,Priority Mail,2207.87
256,183,2025-01-03,delivered,Ground Shipping,4369.78
257,75,2025-02-20,delivered,Next Day Air,3829.04
258,86,2025-09-10,processing,Economy Ground,6933.83
259,70,2026-01-29,delivered,Standard Ground,8240.93
260,39,2026-04-02,delivered,FedEx Ground,8615.12
261,127,2024-10-01,delivered,UPS Ground,3649.04
262,124,2025-02-03,shipped,DHL Express,4985.57
263,199,2026-01-03,delivered,USPS Priority Mail,773.82
264,142,2026-01-13,processing,Standard Shipping,9072.78
265,65,2025-08-01,delivered,Express Shipping,1170.18
266,31,2025-03-01,shipped,Overnight Shipping,8132.24
267,183,2025-08-17,shipped,Economy Shipping,3779.59
268,100,2025-01-25,delivered,Standard Ground,1044.18
269,133,2025-01-16,pending,2-Day Delivery,4436.35
270,97,2025-05-09,shipped,Ground Shipping,4603.15
271,169,2024-12-04,processing,Express Overnight,5437.61
272,10,2024-12-18,delivered,Standard Shipping,9724.22
273,21,2024-12-25,pending,Priority Overnight,1011.98
274,185,2025-09-19,delivered,FedEx 2Day,7219.33
275,25,2025-06-17,shipped,UPS Next Day Air,4493.84
276,79,2026-05-15,shipped,USPS Ground,9166.82
277,105,2025-09-02,processing,Economy Ground,7778.0
278,181,2024-06-28,delivered,Standard Ground,1626.21
279,110,2025-09-21,shipped,Express Shipping,3805.43
280,54,2026-02-19,pending,Overnight Delivery,7323.79
281,83,2025-06-20,shipped,Standard Ground,2891.57
282,49,2025-09-13,pending,Ground Shipping,495.39
283,93,2024-11-20,processing,2-Day Shipping,602.29
284,7,2026-04-06,processing,Priority Mail Express,1950.93
285,167,2025-10-03,shipped,Standard Shipping,8174.53
286,33,2025-10-27,processing,Express Overnight,1365.03
287,120,2025-04-18,cancelled,FedEx Standard,347.88
288,88,2025-01-03,delivered,UPS Ground,2216.73
289,41,2026-03-28,delivered,DHL International,9694.22
290,24,2026-01-13,shipped,USPS Priority,8867.14
291,96,2024-08-21,shipped,Standard Ground,6408.92
292,129,2025-03-12,delivered,Economy Shipping,2128.01
293,187,2025-12-03,delivered,Next Day Delivery,8963.46
294,111,2025-05-10,cancelled,Standard Ground,972.2
295,175,2024-06-18,delivered,Express Shipping,8132.37
296,179,2024-07-15,shipped,Ground Shipping,9817.78
297,10,2025-10-21,shipped,2-Day Delivery,5599.92
298,88,2025-09-07,pending,Priority Overnight,6514.52
299,180,2024-09-16,delivered,Standard Shipping,4442.87
300,88,2025-06-19,delivered,Express Ground,3350.85
301,156,2025-04-04,shipped,Standard Ground,7976.03
302,54,2026-02-03,shipped,Express Overnight,7460.03
303,112,2025-09-09,delivered,2-Day Shipping,4461.28
304,108,2026-02-09,processing,Priority Mail,5792.53
305,162,2024-11-30,shipped,First Class,6065.6
306,170,2025-11-14,shipped,Ground,4041.31
307,49,2025-04-17,shipped,Expedited,8678.9
308,72,2025-04-15,pending,Economy,6529.36
309,93,2024-06-22,shipped,Standard,3119.54
310,20,2026-01-23,delivered,Next Day Air,5667.75
311,179,2025-07-04,shipped,2nd Day Air,8863.28
312,186,2024-09-20,delivered,Ground Advantage,8453.96
313,33,2024-10-14,delivered,USPS Priority,8683.54
314,107,2024-11-13,pending,USPS Ground,3574.3
315,90,2026-05-13,pending,UPS Ground,4245.64
316,74,2026-04-03,cancelled,UPS Express,1391.7
317,18,2026-02-28,pending,FedEx Ground,7230.24
318,72,2024-09-14,delivered,FedEx Overnight,5849.61
319,6,2024-11-17,delivered,FedEx 2-Day,8133.77
320,102,2026-01-22,pending,DHL Express,492.65
321,79,2026-01-31,delivered,DHL Ground,3148.8
322,99,2026-02-24,delivered,Local Pickup,3262.82
323,197,2024-08-02,shipped,In-Store Pickup,949.28
324,49,2025-09-08,processing,Curbside Pickup,4101.2
325,110,2026-01-22,delivered,Same-Day Delivery,4272.66
326,187,2025-09-09,delivered,Next-Day Delivery,8957.96
327,121,2025-02-04,shipped,Standard Delivery,4681.07
328,7,2024-08-13,delivered,Scheduled Delivery,1366.47
329,112,2025-06-07,cancelled,Freight Shipping,2353.45
330,133,2026-03-24,shipped,LTL Shipping,6684.93
331,79,2025-08-13,delivered,Parcel Select,4674.62
332,166,2026-03-07,shipped,Media Mail,9456.57
333,184,2024-06-09,processing,Library Mail,436.64
334,116,2025-07-26,delivered,International Mail,9254.28
335,129,2025-04-18,pending,International Express,2695.49
336,196,2024-10-10,processing,Global Express,3088.8
337,132,2024-09-29,shipped,Worldwide Shipping,8295.45
338,131,2024-11-05,shipped,Flat Rate Box,2105.74
339,162,2025-10-01,shipped,Regional Delivery,4680.08
340,55,2025-12-02,shipped,Local Courier,6597.67
341,131,2025-01-26,shipped,Third-Party Logistics,4376.84
342,172,2025-03-24,delivered,White Glove Delivery,3267.27
343,40,2024-12-03,pending,Signature Required,9658.83
344,165,2025-08-24,processing,Contactless Delivery,8756.09
345,185,2024-11-04,delivered,Door-to-Door,6180.44
346,22,2024-11-26,delivered,Mailbox Delivery,1150.09
347,105,2025-11-11,pending,Parcel Locker,8190.59
348,48,2025-08-07,shipped,Amazon Prime,4397.65
349,153,2026-03-30,shipped,Standard International,3655.35
350,110,2026-03-29,processing,Premium Expedited,1391.99
351,160,2026-01-12,delivered,Standard Shipping,9285.36
352,91,2026-03-21,processing,Express Shipping,1525.84
353,124,2025-11-23,delivered,Overnight Delivery,4736.23
354,183,2024-06-13,shipped,Ground Shipping,4864.05
355,71,2024-10-10,shipped,2-Day Shipping,2354.11
356,195,2025-04-24,delivered,Priority Mail,4316.72
357,34,2024-09-03,delivered,First Class Mail,5456.53
358,70,2026-05-25,delivered,FedEx Ground,3423.07
359,142,2025-06-07,delivered,FedEx Express,5711.17
360,194,2025-02-04,delivered,FedEx Overnight,7098.29
361,200,2026-05-14,cancelled,UPS Ground,4684.95
362,41,2024-07-03,delivered,UPS 2nd Day Air,1896.3
363,137,2025-09-17,processing,UPS Next Day Air,3253.34
364,68,2026-06-03,delivered,USPS Priority Mail Express,4571.96
365,20,2024-11-19,shipped,USPS Priority Mail,4482.55
366,70,2024-06-22,pending,DHL Express,6817.91
367,153,2024-07-26,delivered,DHL Standard,786.57
368,71,2026-04-07,delivered,Same-Day Delivery,8160.76
369,153,2024-11-14,delivered,In-Store Pickup,50.8
370,152,2025-01-24,shipped,Curbside Pickup,7358.99
371,183,2025-04-01,delivered,Local Delivery,620.75
372,78,2025-06-19,shipped,Regional Delivery,3775.65
373,59,2024-08-16,shipped,International Shipping,4494.46
374,154,2024-08-08,delivered,International Express,7698.47
375,165,2026-01-30,pending,Economy Shipping,3472.6
376,87,2024-09-20,shipped,Premium Shipping,1008.18
377,166,2025-10-26,shipped,Expedited Shipping,7345.14
378,119,2025-08-08,pending,Standard Ground,276.18
379,143,2024-10-14,cancelled,Parcel Post,8836.69
380,48,2026-03-24,delivered,Special Handling,3868.85
381,135,2026-01-11,shipped,White Glove Delivery,3162.77
382,106,2025-05-16,delivered,Drop Shipping,6797.11
383,18,2025-01-29,shipped,Freight Shipping,4541.22
384,115,2024-06-17,shipped,Next Business Day,580.35
385,179,2025-02-25,processing,3-5 Business Days,6246.8
386,183,2025-09-20,cancelled,5-7 Business Days,8409.87
387,151,2025-03-05,shipped,7-10 Business Days,6339.96
388,145,2025-01-18,delivered,Free Shipping,4629.18
389,95,2024-09-12,delivered,Paid Shipping,418.72
390,48,2025-10-11,processing,Flat Rate Shipping,6727.38
391,77,2024-09-04,delivered,Zone-Based Shipping,9917.04
392,180,2024-12-03,delivered,Weight-Based Shipping,4660.21
393,166,2025-03-26,delivered,Courier Service,336.21
394,169,2025-06-08,delivered,Bike Messenger,7917.05
395,90,2025-11-01,shipped,Postal Service,8758.1
396,94,2025-06-30,delivered,Third-Party Logistics,7887.22
397,58,2024-12-23,shipped,Direct to Warehouse,1114.74
398,157,2025-02-08,shipped,Cross-Dock Delivery,2937.09
399,82,2024-07-11,delivered,Scheduled Delivery,2892.8
400,122,2024-12-28,processing,Unscheduled Delivery,8777.01
401,181,2024-10-06,delivered,Standard Ground,9885.88
402,189,2025-01-15,delivered,Express Overnight,4902.99
403,194,2024-11-25,delivered,2-Day Shipping,6058.34
404,31,2024-12-05,delivered,Priority Mail,1574.89
405,159,2025-11-10,pending,FedEx Ground,8669.38
406,189,2026-04-01,pending,UPS Standard,7119.96
407,101,2026-03-28,shipped,UPS Express,7764.57
408,42,2025-05-03,shipped,DHL International,8672.12
409,106,2025-11-03,processing,USPS First Class,993.92
410,26,2025-02-26,cancelled,USPS Priority Express,4872.38
411,128,2025-09-29,shipped,Local Pickup,5254.8
412,103,2025-11-23,pending,In-Store Pickup,9240.04
413,164,2026-03-25,delivered,Same-Day Delivery,1087.05
414,183,2026-02-28,shipped,Next-Day Delivery,7923.46
415,106,2025-01-19,shipped,Economy Shipping,2367.01
416,146,2024-12-26,pending,Standard Shipping,8255.97
417,144,2024-08-10,processing,Expedited Shipping,4121.91
418,52,2024-12-16,cancelled,Overnight Shipping,2592.27
419,192,2024-12-02,processing,International Standard,9699.6
420,162,2026-05-31,shipped,International Express,2104.26
421,11,2026-04-24,delivered,Courier Service,9708.53
422,160,2026-01-03,pending,Registered Mail,4301.94
423,71,2026-04-08,shipped,Parcel Post,2923.3
424,187,2025-12-10,shipped,Smart Parcel,516.87
425,130,2026-04-07,delivered,Click and Collect,6781.51
426,136,2024-07-29,processing,Drive-Through Pickup,2710.8
427,181,2025-07-08,shipped,Curbside Delivery,6534.22
428,50,2024-07-12,delivered,White Glove Delivery,578.09
429,151,2025-04-24,delivered,Freight Shipping,8020.85
430,90,2024-07-25,cancelled,LTL Freight,1734.71
431,98,2025-03-20,shipped,Ground Delivery,7234.03
432,66,2025-11-11,pending,Air Shipping,9405.45
433,5,2026-04-03,delivered,Sea Freight,101.81
434,39,2026-04-21,processing,Rail Freight,7283.09
435,187,2025-01-07,delivered,Special Handling,197.03
436,162,2025-06-20,shipped,Temperature Controlled,3612.56
437,72,2025-05-19,shipped,Signature Required,4198.62
438,101,2025-06-25,pending,Insured Delivery,2073.76
439,171,2026-02-21,processing,Gift Wrapping with Shipping,915.79
440,67,2024-11-01,shipped,Drop Shipping,475.8
441,138,2025-09-03,delivered,Third-Party Logistics,228.24
442,20,2024-12-29,delivered,Dropbox Delivery,5196.88
443,146,2024-11-19,delivered,Locker Delivery,9194.2
444,88,2025-09-12,delivered,Partner Store Delivery,7812.43
445,148,2026-02-23,shipped,Regional Carrier,6591.78
446,6,2026-02-09,shipped,Small Parcel Service,9619.14
447,200,2024-06-23,shipped,Bulk Shipping,2281.41
448,177,2025-10-15,delivered,Scheduled Delivery,6612.34
449,10,2024-12-27,shipped,Eco-Friendly Shipping,685.53
450,152,2024-06-28,delivered,Carbon-Neutral Delivery,3298.73
451,4,2025-01-25,processing,Standard Ground,5210.08
452,100,2026-01-04,delivered,Express Overnight,891.11
453,165,2024-10-19,processing,2-Day Air,1081.56
454,154,2025-08-17,shipped,Ground Shipping,2542.26
455,41,2024-06-11,shipped,Priority Mail,5076.25
456,70,2024-07-19,delivered,First Class Mail,2238.98
457,39,2026-01-15,delivered,Expedited Shipping,2932.09
458,48,2026-01-20,processing,Standard Shipping,2424.87
459,106,2025-03-26,delivered,Next Day Air,54.43
460,158,2025-03-07,shipped,UPS Ground,9607.03
461,144,2025-03-13,shipped,FedEx Express,5420.82
462,158,2025-05-16,shipped,USPS Priority,8204.4
463,153,2026-04-08,pending,DHL International,5794.77
464,90,2025-05-17,delivered,Same-Day Delivery,549.92
465,21,2025-06-10,processing,Courier Service,8392.77
466,21,2025-08-28,processing,Ground Delivery,6157.76
467,44,2026-04-09,delivered,Air Freight,309.17
468,144,2025-09-10,delivered,Economy Shipping,8366.58
469,165,2024-10-21,shipped,Premium Express,8494.83
470,135,2025-01-31,cancelled,International Standard,102.0
471,66,2026-01-03,pending,Overnight Delivery,9044.77
472,140,2025-10-03,processing,Regional Ground,1722.04
473,150,2024-11-15,delivered,Parcel Post,4876.55
474,94,2025-06-26,pending,Signature Required,2403.23
475,121,2026-02-04,delivered,Local Pickup,7146.66
476,200,2025-08-04,processing,White Glove Delivery,2295.86
477,42,2026-04-01,delivered,Scheduled Delivery,1958.45
478,114,2025-08-04,processing,Standard International,820.41
479,58,2025-08-04,cancelled,Express International,4282.52
480,105,2026-02-16,delivered,Economy Ground,3725.66
481,44,2024-09-22,pending,Tracked Ground,6551.01
482,183,2024-07-30,shipped,Insured Shipping,4041.91
483,148,2025-07-25,delivered,Fragile Handling,4046.12
484,107,2024-07-10,cancelled,Bulk Ground,7340.37
485,181,2024-12-18,processing,Commercial Shipping,3123.98
486,165,2024-08-09,delivered,Residential Delivery,9735.23
487,122,2025-07-19,shipped,Business Delivery,2388.87
488,194,2024-12-27,delivered,Rural Delivery,7018.45
489,68,2024-09-10,pending,Urban Express,3264.73
490,88,2026-04-29,pending,Flatbed Shipping,3644.6
491,2,2025-05-16,processing,Pallet Shipping,7344.41
492,54,2025-07-17,shipped,Less-Than-Truckload,8793.26
493,165,2025-05-05,delivered,Full Truckload,6947.89
494,46,2024-11-26,shipped,Drop Shipping,3003.97
495,17,2025-02-08,shipped,Dropoff Point,649.14
496,17,2024-11-26,shipped,In-Store Pickup,5536.13
497,9,2025-03-28,delivered,Warehouse Delivery,3879.89
498,57,2025-05-13,shipped,Curbside Delivery,6250.78
499,188,2024-06-07,shipped,Temperature Controlled,9737.03
500,106,2024-10-03,delivered,Hazmat Shipping,3977.78
501,43,2026-04-27,delivered,Standard Ground,7226.26
502,37,2026-04-28,shipped,Express Overnight,8410.35
503,170,2026-03-14,delivered,2-Day Shipping,4340.48
